

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
127.794  000.191  000.191: require('nui.tree.util')
127.811  000.516  000.325: require('nui.tree')
128.246  000.192  000.192: require('nui.utils.buf_storage')
128.483  000.229  000.229: require('nui.utils.autocmd')
128.685  000.194  000.194: require('nui.utils.keymap')
129.072  000.191  000.191: require('nui.layout.utils')
129.083  000.391  000.200: require('nui.split.utils')
129.097  001.282  000.276: require('nui.split')
129.646  000.315  000.315: require('nui.popup.border')
129.667  000.565  000.251: require('nui.popup')
129.890  000.218  000.218: require('neo-tree.ui.popups')
130.088  000.190  000.190: require('neo-tree.ui.windows')
130.123  006.264  000.297: require('neo-tree.ui.renderer')
130.358  000.230  000.230: require('neo-tree.sources.filesystem.lib.filter_external')
130.578  000.212  000.212: require('neo-tree.sources.common.file-items')
131.408  000.191  000.191: require('neo-tree.git.utils')
131.417  000.410  000.219: require('neo-tree.git.status')
131.625  000.205  000.205: require('neo-tree.git.ignored')
131.635  000.840  000.224: require('neo-tree.git')
131.640  001.055  000.215: require('neo-tree.sources.filesystem.lib.fs_watch')
131.653  008.006  000.245: require('neo-tree.sources.filesystem.lib.fs_scan')
132.141  000.268  000.268: require('nui.input')
132.150  000.492  000.225: require('neo-tree.ui.inputs')
132.167  008.731  000.233: require('neo-tree.sources.manager')
132.801  000.200  000.200: require('neo-tree.command.parser')
133.003  000.193  000.193: require('neo-tree.command.completion')
133.011  000.634  000.240: require('neo-tree.command')
133.018  000.845  000.212: require('neo-tree.setup.netrw')
133.025  011.606  000.312: require('neo-tree.setup')
133.756  000.249  000.249: require('neo-tree.setup.deprecations')
136.190  000.323  000.323: require('neo-tree.sources.filesystem')
136.708  000.228  000.228: require('neo-tree.sources.buffers.lib.items')
136.740  000.531  000.304: require('neo-tree.sources.buffers')
137.209  000.217  000.217: require('neo-tree.sources.git_status.lib.items')
137.219  000.471  000.254: require('neo-tree.sources.git_status')
138.136  000.264  000.264: require('neo-tree.sources.common.container')
138.152  000.570  000.307: require('neo-tree.sources.common.components')
138.375  001.010  000.440: require('neo-tree.sources.filesystem.components')
140.200  000.921  000.921: require('plenary.scandir')
140.410  000.201  000.201: require('plenary')
140.422  001.457  000.336: require('neo-tree.sources.filesystem.lib.fs_actions')
140.641  000.212  000.212: require('neo-tree.sources.common.help')
140.912  000.263  000.263: require('neo-tree.sources.common.preview')
141.142  000.221  000.221: require('neo-tree.sources.common.node_expander')
141.170  002.532  000.378: require('neo-tree.sources.common.commands')
141.430  000.255  000.255: require('neo-tree.sources.filesystem.lib.filter')
141.511  003.127  000.341: require('neo-tree.sources.filesystem.commands')
142.008  000.233  000.233: require('neo-tree.sources.buffers.components')
142.483  000.466  000.466: require('neo-tree.sources.buffers.commands')
142.962  000.238  000.238: require('neo-tree.sources.git_status.components')
143.206  000.235  000.235: require('neo-tree.sources.git_status.commands')
149.703  000.614  000.614: require('startup.log')
150.124  000.399  000.399: require('startup.themes.dashboard')
150.845  000.702  000.702: require('startup.utils')
150.993  005.245  003.531: require('startup')
151.285  000.282  000.282: require('startup.themes.empty')
154.549  000.195  000.195: require('toggleterm.lazy')
154.756  000.196  000.196: require('toggleterm.constants')
155.143  000.378  000.378: require('toggleterm.terminal')
155.155  003.494  002.726: require('toggleterm')
155.552  000.193  000.193: require('toggleterm.colors')
155.750  000.191  000.191: require('toggleterm.utils')
155.764  000.604  000.221: require('toggleterm.config')
157.509  000.262  000.262: require('toggleterm.commandline')
164.540  000.177  000.177: require('vim.treesitter.language')
164.555  000.403  000.226: require('vim.treesitter.query')
164.734  000.174  000.174: require('vim.treesitter._range')
164.745  000.797  000.220: require('vim.treesitter.languagetree')
164.754  001.002  000.205: require('vim.treesitter')
165.079  001.667  000.665: require('nvim-treesitter.parsers')
165.331  000.245  000.245: require('nvim-treesitter.utils')
165.341  002.224  000.313: require('nvim-treesitter.ts_utils')
165.938  000.181  000.181: require('nvim-treesitter.compat')
166.134  000.188  000.188: require('nvim-treesitter.tsrange')
166.323  000.182  000.182: require('nvim-treesitter.caching')
166.336  000.776  000.224: require('nvim-treesitter.query')
166.349  001.003  000.227: require('nvim-treesitter.configs')
166.535  000.182  000.182: require('nvim-ts-autotag._log')
166.727  000.185  000.185: require('nvim-ts-autotag.utils')
166.744  003.848  000.255: require('nvim-ts-autotag.internal')
166.748  006.322  002.474: require('nvim-ts-autotag')
167.397  000.189  000.189: require('nvim-treesitter.info')
167.619  000.215  000.215: require('nvim-treesitter.shell_command_selectors')
167.645  000.655  000.251: require('nvim-treesitter.install')
167.846  000.196  000.196: require('nvim-treesitter.statusline')
168.039  000.186  000.186: require('nvim-treesitter.query_predicates')
168.047  001.294  000.257: require('nvim-treesitter')
168.060  007.671  000.054: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
169.177  000.723  000.723: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
169.721  000.212  000.212: require('nvim-treesitter.indent')
169.961  000.205  000.205: require('nvim-treesitter.highlight')
173.491  000.171  000.171: require('notify.util.queue')
173.500  000.384  000.213: require('notify.util')
173.782  000.278  000.278: require('notify.config.highlights')
173.852  000.956  000.293: require('notify.config')
174.343  000.213  000.213: require('notify.stages')
174.572  000.204  000.204: require('notify.service.notification')
175.204  000.176  000.176: require('notify.animate.spring')
175.212  000.395  000.219: require('notify.animate')
175.218  000.637  000.243: require('notify.windows')
175.840  000.208  000.208: require('notify.service.buffer.highlights')
175.850  000.425  000.217: require('notify.service.buffer')
175.855  000.633  000.208: require('notify.service')
176.061  000.203  000.203: require('notify.stages.util')
176.068  002.211  000.321: require('notify.instance')
176.074  005.864  002.697: require('notify')
176.374  000.189  000.189: require('notify.stages.slide')
177.363  000.367  000.367: require('telescope.previewers.previewer')
191.902  014.531  014.531: require('telescope.previewers.term_previewer')
193.068  000.192  000.192: require('plenary.context_manager')
193.079  000.616  000.424: require('telescope.previewers.utils')
195.481  002.397  002.397: require('plenary.filetype')
209.482  017.571  014.558: require('telescope.previewers.buffer_previewer')
209.495  032.910  000.442: require('telescope.previewers')
209.507  033.114  000.204: require('telescope._extensions.notify')
215.776  000.196  000.196: require('barbar.animate')
216.384  000.204  000.204: require('barbar.utils.table')
216.580  000.175  000.175: require('barbar.utils')
216.933  000.345  000.345: require('vim.diagnostic')
216.946  000.971  000.248: require('barbar.config')
217.132  000.182  000.182: require('barbar.utils.list')
217.722  000.173  000.173: require('barbar.fs')
217.738  000.389  000.216: require('barbar.buffer')
217.758  000.619  000.230: require('barbar.state')
217.767  001.982  000.210: require('barbar.bbye')
217.954  000.182  000.182: require('barbar.jump_mode')
218.603  000.223  000.223: require('barbar.utils.highlight')
220.229  001.278  001.278: require('nvim-web-devicons.icons-default')
220.446  001.835  000.557: require('nvim-web-devicons')
220.454  002.289  000.232: require('barbar.icons')
220.460  002.499  000.210: require('barbar.ui.layout')
220.986  000.236  000.236: require('barbar.ui.nodes')
221.016  000.551  000.315: require('barbar.ui.render')
221.034  005.666  000.256: require('barbar.api')
222.363  001.099  001.099: require('barbar.highlight')
222.380  001.341  000.243: require('barbar.events')
222.386  009.770  002.762: require('barbar')
226.109  013.668  003.898: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/barbar.nvim/plugin/barbar.lua
231.765  000.257  000.257: require('fidget.spinner.patterns')
231.776  000.475  000.218: require('fidget.spinner')
231.999  000.217  000.217: require('fidget.options')
232.011  000.937  000.246: require('fidget.progress.display')
232.466  000.226  000.226: require('fidget.logger')
232.476  000.461  000.235: require('fidget.progress.lsp')
233.383  000.230  000.230: require('fidget.poll')
233.395  000.474  000.245: require('fidget.notification.model')
233.666  000.267  000.267: require('fidget.notification.window')
233.911  000.237  000.237: require('fidget.notification.view')
233.974  001.286  000.308: require('fidget.notification')
233.982  001.501  000.215: require('fidget.progress.handle')
234.001  003.140  000.240: require('fidget.progress')
234.322  000.316  000.316: require('fidget.commands')
234.770  000.234  000.234: require('fidget.integration.nvim-tree')
234.781  000.449  000.214: require('fidget.integration')
234.792  006.816  002.912: require('fidget')
246.140  000.416  000.416: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/nvim-lspconfig/plugin/lspconfig.lua
271.744  004.599  004.599: require('cmp.utils.api')
272.539  000.361  000.361: require('cmp.types.cmp')
273.483  000.525  000.525: require('cmp.utils.misc')
273.523  000.972  000.448: require('cmp.types.lsp')
273.834  000.306  000.306: require('cmp.types.vim')
273.842  002.084  000.444: require('cmp.types')
